epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5367.52,0.58366,0.45185,0.91433,0.99513,1,0.995,0.85702,0.63382,0.36252,0.88919,0.000341077,0.000341077,0.000341077
44,5489.84,0.61078,0.45836,0.90257,0.99239,1,0.995,0.83367,0.71837,0.38484,0.92465,0.000322745,0.000322745,0.000322745
45,5615.62,0.60242,0.45556,0.92545,0.98043,0.99864,0.995,0.81273,0.77113,0.39427,0.9696,0.000304414,0.000304414,0.000304414
46,5740.76,0.58534,0.43723,0.91292,0.98994,1,0.995,0.83234,0.69072,0.36212,0.907,0.000286083,0.000286083,0.000286083
47,5864.49,0.58738,0.43938,0.9143,0.99587,1,0.995,0.84861,0.63356,0.33597,0.88788,0.000267751,0.000267751,0.000267751
48,5989.89,0.58045,0.43137,0.90394,0.9943,1,0.995,0.83974,0.68159,0.34825,0.92517,0.00024942,0.00024942,0.00024942
49,6113.18,0.55659,0.41527,0.90978,0.99319,1,0.995,0.84172,0.65781,0.33608,0.92595,0.000231088,0.000231088,0.000231088
50,6236.94,0.56931,0.40944,0.90646,0.99403,1,0.995,0.84611,0.63153,0.32719,0.90196,0.000212757,0.000212757,0.000212757
51,6362.87,0.55199,0.42683,0.88941,0.99308,1,0.995,0.85449,0.64119,0.34653,0.88764,0.000194425,0.000194425,0.000194425
52,6485.16,0.53541,0.4011,0.86699,0.99374,1,0.995,0.83921,0.67976,0.3509,0.8994,0.000176094,0.000176094,0.000176094
53,6609.24,0.49826,0.35922,0.85787,0.99405,1,0.995,0.84367,0.66823,0.34793,0.89873,0.000157762,0.000157762,0.000157762
54,6730.86,0.5188,0.37596,0.8629,0.995,1,0.995,0.84494,0.67588,0.34154,0.90748,0.000139431,0.000139431,0.000139431
55,6855.77,0.52329,0.37364,0.87011,0.99511,1,0.995,0.87108,0.58112,0.32101,0.87134,0.000121099,0.000121099,0.000121099
56,6978.89,0.49217,0.35352,0.85954,0.99484,1,0.995,0.87157,0.60777,0.31624,0.87754,0.000102768,0.000102768,0.000102768
57,7104.1,0.49632,0.35099,0.85081,0.99593,1,0.995,0.85191,0.65571,0.3237,0.89308,8.4436e-05,8.4436e-05,8.4436e-05
58,7227.79,0.49371,0.3501,0.85056,0.99599,1,0.995,0.8461,0.66587,0.32682,0.89706,6.61045e-05,6.61045e-05,6.61045e-05
59,7351.7,0.49711,0.34746,0.85514,0.99553,1,0.995,0.85604,0.62131,0.3145,0.88548,4.7773e-05,4.7773e-05,4.7773e-05
60,7477.14,0.49526,0.34831,0.86182,0.99502,1,0.995,0.85812,0.61891,0.31355,0.88491,2.94415e-05,2.94415e-05,2.94415e-05
