epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.25,1.16358,3.92468,1.28226,0.00495,1,0.70361,0.62318,0.49892,3.31188,0.85214,0.0002222,0.0002222,0.0002222
2,257.684,0.75746,2.34331,0.97649,0.99785,0.61336,0.995,0.85068,0.62329,2.66138,0.8862,0.000410415,0.000410415,0.000410415
3,384.465,0.79951,1.91521,1.01518,0.98249,0.88382,0.995,0.83043,0.69571,2.24489,0.91592,0.000552434,0.000552434,0.000552434
4,510.503,0.72526,1.6877,0.95659,0.83948,0.87582,0.99054,0.82584,0.67672,1.75085,0.90108,0.000648257,0.000648257,0.000648257
5,636.32,0.73499,1.59356,0.95899,0.93422,0.88936,0.99395,0.84674,0.63147,1.65658,0.89085,0.000671044,0.000671044,0.000671044
6,762.29,0.74166,1.51692,0.95847,0.98318,0.9974,0.995,0.86944,0.58076,0.92911,0.8755,0.000561055,0.000561055,0.000561055
7,890.124,0.64667,1.34128,0.92019,0.99269,1,0.995,0.85677,0.57228,0.90024,0.87063,0.000451066,0.000451066,0.000451066
8,1019.63,0.66047,1.30548,0.91258,0.99077,1,0.995,0.83952,0.64454,0.83384,0.88917,0.000341077,0.000341077,0.000341077
9,1147.37,0.63998,1.20164,0.90408,0.99491,1,0.995,0.87208,0.52566,0.75916,0.85227,0.000231088,0.000231088,0.000231088
10,1276.13,0.64862,1.18664,0.9042,0.99578,1,0.995,0.86269,0.56935,0.75631,0.8654,0.000121099,0.000121099,0.000121099
